LATITUDE,LONGITUDE,DATE
37.345,-102.80583333,2005-07-07
38.89111111,-105.43194444,2005-06-13
39.48055556,-105.13666667,2005-06-15
39.43916667,-105.11805556,2005-06-28
37.21722222,-103.19777778,2005-07-24
37.30138889,-102.60638889,2005-07-24
37.04083333,-102.58805556,2005-07-24
37.3075,-102.72166667,2005-07-17
37.74222222,-103.86055556,2005-07-09
38.12194444,-105.00027778,2005-07-18
38.16972222,-105.03805556,2005-07-07
37.11861111,-102.72805556,2005-07-24
37.58361111,-103.58861111,2005-08-16
37.54222222,-102.34194444,2005-08-30
38.9225,-105.42916667,2005-07-06
37.68027778,-104.05972222,2005-09-28
39.36194444,-105.38,2005-10-08
37.17611111,-107.325,2005-06-23
37.54527778,-107.78638889,2005-07-19
37.10472222,-106.89611111,2005-07-20
37.38944444,-107.26416667,2005-07-21
37.28,-107.21722222,2005-08-03
37.49527778,-107.12222222,2005-07-12
40.88361111,-105.58861111,2005-07-04
40.90527778,-105.41722222,2005-07-05
40.41555556,-105.35055556,2005-07-17
40.33638889,-105.36694444,2005-07-17
40.84805556,-105.52361111,2005-07-19
40.43083333,-105.25916667,2005-07-20
40.78,-105.65861111,2005-07-21
40.90972222,-105.50027778,2005-09-07
40.74027778,-105.63611111,2005-09-26
40.915,-105.5875,2005-09-30
37.42333333,-107.15222222,2005-08-25
40.67638889,-104.50694444,2005-09-02
37.67555556,-108.68305556,2005-07-30
37.15583333,-106.88444444,2005-06-23
37.37111111,-107.3425,2005-11-07
38.62583333,-106.10083333,2005-07-07
38.13888889,-106.53361111,2005-07-18
39.57166667,-106.10861111,2005-07-17
39.25388889,-106.5725,2005-07-16
40.72444444,-106.71944444,2005-08-29
38.75833333,-104.87361111,2005-09-15
38.89611111,-104.94361111,2005-09-19
40.19222222,-105.34777778,2005-09-15
38.06472222,-108.31972222,2005-06-05
38.36527778,-106.5175,2005-07-13
38.87555556,-107.33638889,2005-07-14
39.56472222,-106.05388889,2005-09-19
38.5675,-107.3375,2005-07-22
39.31083333,-105.73166667,2006-01-02
39.045,-105.38833333,2006-01-14
37.08361111,-102.78666667,2006-02-12
39.42027778,-107.79305556,2006-04-17
37.20888889,-102.3225,2006-02-13
39.13944444,-105.10277778,2006-04-02
38.97972222,-105.03166667,2006-04-02
37.14916667,-107.32027778,2006-04-29
37.46222222,-107.81,2006-05-05
38.90638889,-105.13305556,2006-04-22
39.65805556,-106.56416667,2006-05-30
39.10888889,-105.62777778,2006-04-17
37.02305556,-106.88194444,2006-07-14
37.12,-106.46361111,2006-07-19
37.28666667,-102.76805556,2006-06-15
37.21388889,-103.23166667,2006-05-27
37.36083333,-102.72388889,2006-06-16
37.28694444,-103.09583333,2006-06-29
37.27111111,-102.48694444,2006-07-02
37.54055556,-103.70722222,2006-07-25
38.40138889,-109.0225,2006-06-20
37.94583333,-106.40222222,2006-06-24
39.96111111,-106.27083333,2006-06-19
38.28888889,-108.34666667,2006-04-16
38.12111111,-107.60888889,2006-06-28
38.61166667,-106.44527778,2006-07-02
38.22916667,-108.27277778,2006-07-21
38.25138889,-108.23277778,2006-08-16
38.84777778,-107.4725,2006-08-30
39.34916667,-105.21388889,2006-06-18
37.72527778,-108.63305556,2006-08-20
37.65583333,-108.23638889,2006-07-26
40.44,-105.34472222,2006-03-04
40.43416667,-105.28777778,2006-08-16
40.95805556,-105.50555556,2006-07-07
37.21472222,-107.02555556,2006-05-22
40.68888889,-105.59166667,2006-05-20
40.38444444,-105.45638889,2006-08-23
40.97166667,-105.52305556,2006-08-07
40.97555556,-105.49888889,2006-08-18
39.20777778,-105.06222222,2006-06-21
40.42805556,-105.28138889,2006-08-16
40.92555556,-105.47472222,2006-06-30
38.12222222,-105.07361111,2006-06-27
37.82,-104.96027778,2006-08-30
40.81972222,-104.00083333,2006-07-02
40.63527778,-105.5075,2006-05-22
40.11388889,-105.33333333,2006-03-04
40.07305556,-105.43333333,2006-06-11
40.26777778,-105.38083333,2006-05-27
36.99861111,-102.32666667,2006-11-20
40.11444444,-105.33666667,2006-04-22
39.95083333,-106.12666667,2006-06-14
39.37055556,-105.72166667,2006-11-25
37.33472222,-102.58305556,2006-03-08
37.26944444,-103.32444444,2006-06-20
37.35416667,-102.37361111,2006-03-01
37.33694444,-102.54194444,2006-03-08
40.955,-105.57666667,2007-05-18
39.24722222,-105.17555556,2007-06-25
39.38277778,-105.37222222,2007-07-03
37.17777778,-107.34777778,2007-06-03
39.25277778,-105.21805556,2007-07-06
37.15305556,-107.10444444,2007-06-05
37.18777778,-107.24166667,2007-06-18
37.30388889,-107.25583333,2007-06-08
40.22944444,-106.60416667,2007-07-01
38.22666667,-108.25,2007-07-08
38.63222222,-108.77111111,2007-07-21
40.43111111,-105.41277778,2007-07-22
37.20583333,-106.90527778,2007-06-30
38.53777778,-108.36444444,2007-07-22
38.93416667,-106.21111111,2007-07-04
40.7125,-105.305,2007-06-21
39.66583333,-106.56944444,2007-07-03
39.17527778,-105.51361111,2007-06-25
37.43388889,-106.92777778,2007-06-28
37.54888889,-107.51472222,2007-07-03
37.46194444,-107.44777778,2007-07-10
37.2775,-107.35777778,2007-07-05
37.17027778,-102.69694444,2007-09-15
